row,decimal,fitness,bitstring
1368,1368,0.82356220,0000010101011000
1884,1884,0.77417796,0000011101011100
2536,2536,0.76055667,0000100111101000
4420,4420,0.85807000,0001000101000100
4552,4552,0.85366808,0001000111001000
4698,4698,0.77027195,0001001001011010
4744,4744,0.81756238,0001001010001000
4752,4752,0.81442343,0001001010010000
4892,4892,0.82222174,0001001100011100
5016,5016,0.81707542,0001001110011000
5256,5256,0.86631443,0001010010001000
5388,5388,0.85258212,0001010100001100
5568,5568,0.83799199,0001010111000000
6295,6295,0.79590737,0001100010010111
6420,6420,0.83694345,0001100100010100
6425,6425,0.79193729,0001100100011001
7433,7433,0.78991966,0001110100001001
8388,8388,0.83107100,0010000011000100
8392,8392,0.83206790,0010000011001000
8516,8516,0.84111119,0010000101000100
8520,8520,0.83311281,0010000101001000
8660,8660,0.81410350,0010000111010100
8840,8840,0.82380327,0010001010001000
8848,8848,0.78421917,0010001010010000
8943,8943,0.72568267,0010001011101111
8972,8972,0.79021343,0010001100001100
9112,9112,0.79745930,0010001110011000
9401,9401,0.78348019,0010010010111001
9476,9476,0.82789416,0010010100000100
9616,9616,0.82981957,0010010110010000
9664,9664,0.83185155,0010010111000000
10387,10387,0.77230915,0010100010010011
10516,10516,0.81630623,0010100100010100
12573,12573,0.79390181,0011000100011101
13024,13024,0.76074806,0011001011100000
13060,13060,0.79349691,0011001100000100
14280,14280,0.79275661,0011011111001000
16581,16581,0.80682535,0100000011000101
16882,16882,0.73985968,0100000111110010
20213,20213,0.71304120,0100111011110101
20556,20556,0.84205319,0101000001001100
20676,20676,0.85474828,0101000011000100
20682,20682,0.82740448,0101000011001010
20696,20696,0.84089164,0101000011011000
21140,21140,0.82433786,0101001010010100
21144,21144,0.81078369,0101001010011000
21272,21272,0.81294523,0101001100011000
21572,21572,0.84859151,0101010001000100
21696,21696,0.84527068,0101010011000000
21768,21768,0.85676929,0101010100001000
21777,21777,0.81701496,0101010100010001
22548,22548,0.84311976,0101100000010100
22784,22784,0.82488592,0101100100000000
22808,22808,0.82752354,0101100100011000
23209,23209,0.75722069,0101101010101001
24652,24652,0.82135642,0110000001001100
24792,24792,0.82649681,0110000011011000
24820,24820,0.79813913,0110000011110100
24896,24896,0.83323949,0110000101000000
25216,25216,0.80090267,0110001010000000
25482,25482,0.77736183,0110001110001010
25668,25668,0.83579401,0110010001000100
25744,25744,0.84738205,0110010010010000
25792,25792,0.83789526,0110010011000000
25864,25864,0.82443738,0110010100001000
25931,25931,0.78216790,0110010101001011
26880,26880,0.81107260,0110100100000000
27780,27780,0.80447014,0110110010000100
28267,28267,0.71306850,0110111001101011
28751,28751,0.77798208,0111000001001111
30840,30840,0.74152839,0111100001111000
31155,31155,0.72668698,0111100110110011
31176,31176,0.79677142,0111100111001000
32860,32860,0.80365293,1000000001011100
33097,33097,0.81309801,1000000101001001
33108,33108,0.81402635,1000000101010100
33112,33112,0.81310573,1000000101011000
33152,33152,0.80311398,1000000110000000
33418,33418,0.79022456,1000001010001010
33432,33432,0.80898278,1000001010011000
34134,34134,0.79397996,1000010101010110
34184,34184,0.83306321,1000010110001000
34965,34965,0.78259680,1000100010010101
35084,35084,0.79648884,1000100100001100
35092,35092,0.81416809,1000100100010100
35202,35202,0.77562645,1000100110000010
35232,35232,0.77567652,1000100110100000
35973,35973,0.75769166,1000110010000101
36947,36947,0.74100079,1001000001010011
37008,37008,0.80070341,1001000010010000
37063,37063,0.79184889,1001000011000111
37140,37140,0.81516128,1001000100010100
38078,38078,0.74138558,1001010010111110
39146,39146,0.75100811,1001100011101010
39179,39179,0.73867227,1001100100001011
41036,41036,0.80663984,1010000001001100
41108,41108,0.78479295,1010000010010100
41113,41113,0.79096321,1010000010011001
41139,41139,0.72299955,1010000010110011
41190,41190,0.76667978,1010000011100110
41630,41630,0.75413300,1010001010011110
41862,41862,0.73965720,1010001110000110
41890,41890,0.70760402,1010001110100010
42252,42252,0.82319387,1010010100001100
42305,42305,0.78267087,1010010101000001
42767,42767,0.75171104,1010011100001111
43085,43085,0.76254622,1010100001001101
43205,43205,0.76774070,1010100011000101
43299,43299,0.68553677,1010100100100011
43480,43480,0.78641764,1010100111011000
45459,45459,0.73322176,1011000110010011
47208,47208,0.73661848,1011100001101000
49240,49240,0.81622854,1100000001011000
49944,49944,0.79336416,1100001100011000
50056,50056,0.78998962,1100001110001000
50252,50252,0.82419439,1100010001001100
50312,50312,0.83701829,1100010010001000
50368,50368,0.81947998,1100010011000000
50392,50392,0.81680744,1100010011011000
50463,50463,0.74646102,1100010100011111
50504,50504,0.82342517,1100010101001000
51348,51348,0.82423616,1100100010010100
51480,51480,0.79840422,1100100100011000
52368,52368,0.80857919,1100110010010000
53061,53061,0.74342811,1100111101000101
53504,53504,0.80815600,1101000100000000
54866,54866,0.76545202,1101011001010010
56324,56324,0.79419457,1101110000000100
56576,56576,0.78561103,1101110100000000
57365,57365,0.76045607,1110000000010101
57816,57816,0.79786153,1110000111011000
58132,58132,0.78342737,1110001100010100
58963,58963,0.72993810,1110011001010011
59144,59144,0.80430078,1110011100001000
59595,59595,0.75787943,1110100011001011
64604,64604,0.76705795,1111110001011100
